name,fullname,price,age,makers,volume,buys,sells,liquidity,FDV,href,timestamp,contract_address
$BEER,BEER,$0.0003191,5m,201,$52K,340,247,$22K,$31K,https://dexscreener.com/solana/gbjvl55kxijbxsh6udavb2sgt1edfjgxyphy3hsfk9wk,2024-06-19 18:23:36,
$BEER,BEER,$0.0007145,9m,295,$132K,779,670,$33K,$71K,https://dexscreener.com/solana/gbjvl55kxijbxsh6udavb2sgt1edfjgxyphy3hsfk9wk,2024-06-19 18:28:03,
