name,fullname,price,age,makers,volume,buys,sells,liquidity,FDV,href,timestamp
GUCCI,GUCCIVERSE,$0.0001063,57m,"1,399",$805K,"2,338","2,203",$189K,$10.7M,https://dexscreener.com/solana/2b5xmmc2tfw3hkjpnsctqzk6vkjv9ns9n5ycpdwoyfgx,2024-06-19 19:42:40
GUCCI,GUCCIVERSE,$0.0001136,58m,"1,468",$843K,"2,440","2,287",$196K,$11.4M,https://dexscreener.com/solana/2b5xmmc2tfw3hkjpnsctqzk6vkjv9ns9n5ycpdwoyfgx,2024-06-19 19:44:04
