name,fullname,price,age,makers,volume,buys,sells,liquidity,FDV,href,timestamp
GCR,GCR,$0.051270,7m,479,$322K,490,449,$18K,$12K,https://dexscreener.com/solana/bi7lvioqzea5tw2wmzhzqlmrhnxeqsnbbxugrqm7asif,2024-06-18 21:59:08,
GALVIN,GALVIN GOT DRIP,$0.0002817,7m,152,$37K,159,54,$38K,$281K,https://dexscreener.com/solana/4ufrgyzye6yjei1iojpvt76cr3at4mrgktcatkm6zonq,2024-06-18 21:59:09,
TUNA,TUNA,$0.00009773,15m,701,$178K,720,567,$176K,$9.8M,https://dexscreener.com/solana/4hurphauqeysscantb7ugpqht7zmdbptcucsnw3z57cb,2024-06-18 21:59:09,
jaky,jaky,$0.0002377,17m,"1,051",$470K,"1,576",892,$46K,$237K,https://dexscreener.com/solana/2h4eg5ivsndcvg7kq4qjbsahmpa2nc6usggjmynnvbjp,2024-06-18 21:59:09,
$DJT,TrumpCoin 🪙,$0.0002155,19m,78,$73K,130,45,$258K,$1.4M,https://dexscreener.com/solana/95ovhpghkby8njurr6pxyxjnc3oqjkbmc4wug6hunhuv,2024-06-18 21:59:09,
Solle,SOLLE,$0.00009357,19m,661,$97K,747,500,$28K,$93K,https://dexscreener.com/solana/ghxgk3gbcxjfdkhnwycbe2nq1ygdda318ksrmd3vavgw,2024-06-18 21:59:09,
PVIDIA,PVIDIA,$0.00004442,30m,137,$798K,"2,276","2,143",$18K,$44K,https://dexscreener.com/solana/8x2adezdkumbaxwu4m51hdaeswzsxar4ctqgn6gpveqt,2024-06-18 21:59:10,
JIFFPOM,Jiffpom,$0.002393,34m,"1,121",$259K,"2,934","2,165",$26K,$239K,https://dexscreener.com/solana/fkwczjixqzs5nu3qipaous5ercvm9owpcdoce6heqdil,2024-06-18 21:59:10,
aw,Another World,$0.00008680,41m,840,$303K,"1,232",896,$28K,$86K,https://dexscreener.com/solana/aqrav32idec3tqrhq6ia8chtajhk5hdaxxm5klsgvmml,2024-06-18 21:59:10,
cup,puppachino,$0.00005840,42m,963,$233K,"1,462","1,131",$23K,$56K,https://dexscreener.com/solana/d9fcmbhlkk9p1tuytsfjyu9gyz3r6vvxeuxj7dejknv,2024-06-18 21:59:10,
MISHA,ねずみ - fluffy hamster,$0.00003762,46m,"1,472",$447K,"2,363","2,138",$18K,$37K,https://dexscreener.com/solana/9bty5sxp5ppwajcif7t4pqzcmvmnsmxbljdmbrbssgyx,2024-06-18 21:59:10,
TILLY,TRUMP BILLY🇺🇸,$0.008383,56m,"1,486",$538K,"2,201",548,$1.3M,$838K,https://dexscreener.com/solana/ch5pk1shnprblofxw85jdd3opccrsjxhmtsmvhf72vwf,2024-06-18 21:59:11,
BABYPeiPei,BABYPeiPei,$0.0003548,56m,223,$767K,"4,966","6,093",$25K,$35K,https://dexscreener.com/solana/brk9jwdhhxsd1swy954vqmqjpk7bc7j8jtupc8g4ylnr,2024-06-18 21:59:11,
